,Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
1419,Awaaz,1984.0,150.0,"Action, Drama, Romance",6.2,46.0,Shakti Samanta,Rajesh Khanna,Jaya Prada,Rakesh Roshan
1420,Awaaz,1942.0,131.0,,6.0,55.0,Rafiq Rizvi,Maya Banerjee,Danve,Kailash
1421,Awara Abdulla,1963.0,106.0,Adventure,6.0,55.0,Tara Harish,Dara Singh,Chandrashekhar,Master Bhagwan
1422,Awara Baap,1985.0,131.0,"Drama, Family",4.9,76.0,Sohanlal Kanwar,Rajesh Khanna,Meenakshi Sheshadri,Rajan Sippy
1423,Awara Badal,1964.0,134.0,"Action, Adventure, Drama",5.1,17.0,B.R. Ishara,Ragini,Ajit,Indira
1424,Awara Ladki,1975.0,131.0,Drama,6.0,55.0,B.J. Patel,Chandrashekhar,Rekha Chauhan,Gajanan Jagirdar
1425,Awara Ladki,1967.0,131.0,Romance,6.0,55.0,Rajnikant,Sudesh Kumar,Sheila Ramani,Shammi
1426,Awara Paagal Deewana,2002.0,158.0,"Action, Comedy, Crime",6.2,7775.0,Vikram Bhatt,Akshay Kumar,Sunil Shetty,Aftab Shivdasani
1427,Awara Shahzada,1932.0,131.0,,6.0,55.0,Master Vithal,Shahu Modak,Vasant,
1428,Awara Shehzadi,1956.0,131.0,Drama,6.0,55.0,Daljeet,Habib,Malika,Sheila Ramani
1429,Awara Zindagi,1989.0,131.0,"Action, Drama",6.0,55.0,A.A. Darpan,Raj Kiran,Saloni,Nilesh Malhotra
1430,Awaragardi,1990.0,131.0,Action,4.9,9.0,Swaroop Kumar,Aditya Pancholi,Kimi Katkar,Sahila Chaddha
1431,Awarapan,2007.0,126.0,"Action, Crime, Drama",7.3,6737.0,Mohit Suri,Emraan Hashmi,Mrinalini Sharma,Ashish Vidyarthi
1432,Awasaan,2020.0,101.0,Drama,8.7,21.0,Rajat Kumar Chaturvedi,Arjun Chakrabarty,Trishala Idnani,Sarvagya Jain
1433,Away,2013.0,87.0,"Adventure, Drama",6.0,55.0,Kevin Schmutzler,Tobias Schmutzler,Tobias Schmutzler,Frederic Heidorn
1434,Awesome Mausam,2016.0,131.0,Romance,3.6,5.0,Yogesh Bharadwaj,Vaarssh Bhatnagar,Sunil Chaurasiyaa,Suhasini Mulay
1435,Axone,2019.0,104.0,"Comedy, Drama",7.0,1979.0,Nicholas Kharkongor,Sayani Gupta,Lin Laishram,Jimpa Bhutia
1436,Aya Sawan Jhoom Ke,1969.0,173.0,"Drama, Romance",6.2,104.0,Raghunath Jhalani,Asha Parekh,Dharmendra,Ravindra Kapoor
1437,Ayaash,1982.0,131.0,Romance,5.1,34.0,Shakti Samanta,Sanjeev Kumar,Rati Agnihotri,Arun Govil
1438,Ayalaan,,131.0,"Comedy, Sci-Fi",6.0,55.0,R. Ravikumar,Rakul Preet Singh,Sharad Kelkar,Yogi Babu
1439,Ayassh Dil,,131.0,Drama,6.0,55.0,,,,
1440,Aye Malik Tere Bande Hum,2005.0,98.0,Drama,6.0,55.0,Raghu Ranganath,R.R. Reddy,,
1441,Aye Meri Bekhudi,1993.0,131.0,"Action, Comedy",6.0,55.0,Chanchal Kumar,Anil Bakshi,Rakesh Bedi,Prem Chopra
1442,Aye Sanam Tere Liye,2018.0,131.0,Romance,6.0,55.0,Iqbal Baksh,,,
1443,Ayee Milan Ki Bela,1964.0,146.0,"Drama, Romance",6.4,116.0,Mohan Kumar,Rajendra Kumar,Saira Banu,Dharmendra
1444,Ayee Milan Ki Raat,1991.0,152.0,Romance,6.2,40.0,K. Pappu,Avinash Wadhawan,Shaheen,Anupam Kher
1445,Ayodhya Gatha,2007.0,60.0,Documentary,6.0,55.0,Vani Subramanian,,,
1446,Ayodhya Mein Lanka,,131.0,Comedy,6.0,55.0,Raaj Nadar,Sanjay Mishra,Raaj Nadar,
1447,Ayodhyapati,1956.0,131.0,,6.0,55.0,Sheikh Fattelal,Usha Kiran,Anand Kumar,Manorama
1448,Ayudha Pooja,2000.0,137.0,"Action, Crime, Drama",5.5,27.0,Shivakumar,Nagesh,Roja,Arjun Sarja
1449,Ayurveda: Art of Being,2001.0,102.0,Documentary,7.6,432.0,Pan Nalin,Nicolos Kostopoulos,Vaidya Narayan Murthy,Brahmanand Swamigal
1450,Ayyappa Swamy Mahatyam,1991.0,131.0,Drama,6.9,13.0,,,,
1451,Ayyash Ladkiyan,1999.0,131.0,Thriller,6.0,55.0,Amrutha,Bashkar,Kiran Das,
1452,Azaab,2016.0,75.0,Crime,6.0,55.0,Ashu Bharti,Dinesh Jethani,Rahil Mansoori,Paramveer Singh
1453,Azaad,1955.0,163.0,"Action, Adventure, Comedy",7.2,136.0,Sriramulu Naidu S.M.,Dilip Kumar,Meena Kumari,Pran
1454,Azaad,1978.0,154.0,"Action, Comedy, Drama",7.2,82.0,Pramod Chakravorty,Dharmendra,Hema Malini,Prem Chopra
1455,Azaad Desh Ke Gulam,1990.0,153.0,"Action, Drama",5.0,52.0,S.A. Chandrashekhar,Rekha,Rishi Kapoor,Jackie Shroff
1456,Azaan... The Awakening Call,2010.0,131.0,Drama,6.0,55.0,Rashid Damohi,Suraj Saxena,Raghuvir Yadav,Princy Gupta
1457,Azad,1940.0,140.0,Drama,7.1,11.0,N.R. Acharya,Leela Chitnis,Ashok Kumar,Hansa Wadkar
1458,Azad Abla,1935.0,131.0,,6.0,55.0,Anand Prasad Kapoor,Rampyari,,
1459,Azad Champion,1968.0,131.0,Action,6.0,55.0,Azaad Irani,,,
1460,Azad Hindustan,1948.0,131.0,,6.0,55.0,Anwari,,,
1461,Azad Mohabbat,1974.0,131.0,"Drama, Romance",5.0,6.0,Kaushalraj Batra,Yogeeta Bali,Iftekhar,Jagdeep
1462,Azad Veer,1936.0,131.0,,6.0,55.0,Rasik Bhatt,Jayant,,
1463,Azadi Ke Baad,1951.0,131.0,Drama,6.0,55.0,Jeevan,Meera Mishra,,
1464,Azadi Ki Raah Par,1948.0,131.0,,6.0,55.0,Lalit Chandra Mehta,Prithviraj Kapoor,Vanamala,Paidi Jairaj
1465,Azadi Pachchees Baras Ki,1978.0,131.0,Drama,6.0,55.0,,,,
1466,Azadi-e-Watan,1940.0,131.0,,6.0,55.0,Dinshaw Bilimoria,Dinshaw Bilimoria,,
1467,Azhar,2016.0,130.0,"Biography, Drama, Sport",5.7,5328.0,Anthony D'Souza,Emraan Hashmi,Nargis Fakhri,Prachi Desai
1468,B & W the Black and White Fact,2012.0,131.0,Thriller,6.0,55.0,Harbansh Laali,Sudha Chandran,Milind Gunaji,Adi Irani
1469,B for Bundelkhand,2017.0,117.0,Drama,8.8,5.0,Vishal Mourya,Bharat Chawla,Nemi Chandra Jha,Moumita Nandi
1470,B Positive,,140.0,Thriller,6.0,55.0,Venkatesh Kumar,Mandana Karimi,Samira Mohamed Ali,Sathyanath
1471,B R Ambedkar Now and Then,2018.0,131.0,Documentary,6.0,55.0,Jyoti Nisha,,,
1472,B.A. Pass,2012.0,95.0,"Crime, Drama, Thriller",6.4,3702.0,Ajay Bahl,Shadab Kamal,Shilpa Shukla,Dibyendu Bhattacharya
1473,B.A. Pass 2,2017.0,125.0,Drama,2.1,419.0,Shadab Khan,Shadab Khan,Kritika Sachdeva,Satiiysh Saarathy Sasho
1474,B.A. Pass 3,2021.0,136.0,"Drama, Romance",8.3,1877.0,Narendra Singh,Sunny Sachdeva,Armaan Sandhu,Ankita Sahu
1475,Ba Ki Yaad Mein,1985.0,131.0,,6.0,55.0,Ketan Mehta,,,
1476,Baa Baaa Black Sheep,2018.0,103.0,"Action, Comedy, Crime",6.4,446.0,Vishwas Paandya,Anupam Kher,Annu Kapoor,Manish Paul
1477,Baabarr,2009.0,180.0,"Action, Crime, Drama",5.1,302.0,Ashu Trikha,Mithun Chakraborty,Om Puri,Sohum Shah
1478,Baabul,2006.0,169.0,"Drama, Family, Romance",5.4,3157.0,Ravi Chopra,Amitabh Bachchan,Salman Khan,Hema Malini
1479,Baabul Ki Dua,2020.0,131.0,Comedy,6.0,55.0,Aditya Singh,Sunil Saigal,Shlesha Shastry,Deeksha Welekar
1480,Baadal,1985.0,131.0,"Drama, Family",5.7,23.0,Anand Sagar,Shammi Kapoor,Mithun Chakraborty,Poonam Dhillon
1481,Baadbaan,1954.0,131.0,"Drama, Family",6.8,20.0,Phani Majumdar,Dev Anand,Meena Kumari,Ashok Kumar
1482,Baadshah,1999.0,175.0,"Action, Comedy, Crime",6.9,17279.0,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Shah Rukh Khan,Twinkle Khanna
1483,Baadshaho,2017.0,136.0,"Action, Adventure, Thriller",4.9,4454.0,Milan Luthria,Ajay Devgn,Ileana D'Cruz,Emraan Hashmi
1484,Baaghi,2000.0,156.0,"Action, Crime, Drama",4.2,208.0,Rajesh Ram Singh,Sanjay Dutt,Manisha Koirala,Aditya Pancholi
1485,Baaghi,2016.0,133.0,"Action, Romance, Thriller",5.2,7912.0,Sabir Khan,Shraddha Kapoor,Tiger Shroff,Sudheer Babu Posani
1486,Baaghi,2001.0,131.0,Action,6.0,55.0,,,,
1487,Baaghi 2,2018.0,137.0,"Action, Thriller",4.8,9625.0,Ahmed Khan,Tiger Shroff,Disha Patani,Manoj Bajpayee
1488,Baaghi 3,2020.0,143.0,"Action, Comedy, Musical",2.1,10309.0,Ahmed Khan,Tiger Shroff,Riteish Deshmukh,Shraddha Kapoor
1489,Baaghi 4,,131.0,"Action, Drama, Thriller",6.0,55.0,Ahmed Khan,Tiger Shroff,,
1490,Baaghi Aurat,2000.0,131.0,Drama,6.0,55.0,Arjun,Rajni Chandra,Shashi Chawla,Mohan Joshi
1491,Baaghi Lutera,1975.0,131.0,Action,6.0,55.0,Shivaji Ganesan,Jayalalitha J,Jayalatha,Padmini
1492,Baaghi Sultana,1993.0,131.0,"Action, Thriller",3.3,7.0,R. Thakur,Kirti Singh,Vijay Saxena,Vidyashree
1493,Baaghi: A Rebel for Love,1990.0,157.0,"Action, Drama, Romance",5.7,1390.0,Deepak S. Shivdasani,Salman Khan,Nagma,Shakti Kapoor
1494,Baaja,2001.0,79.0,Family,6.1,10.0,Apurba Kishore Bir,Ram Awana,Saroj Bhagwar,Roni Bhatt
1495,Baaki Itihaas,2017.0,127.0,Drama,7.3,16.0,Nikhil Mahajan,Zakir Hussain,Amruta Khanvilkar,Ravi Khanvilkar
1496,Baal Ki Khaal,2019.0,65.0,Comedy,7.0,20.0,Paresh Vinodray Savani,Samiksha Bhatnagar,Rishi Bhutani,Nilofar Gesawat
1497,Baal Mahabharat,1973.0,131.0,Drama,5.8,11.0,Kamalakara Kameshwara Rao,Anjali Devi,Dhulipala,Haranath
1498,Baali Umar Ko Salaam,1994.0,131.0,"Action, Comedy, Drama",4.2,26.0,Vasant R. Patel,Kamal Sadanah,Tisca Chopra,Sudha Chandran
1499,Baanjh,2018.0,72.0,Family,6.0,55.0,Dinesh Chaudhary,Usha Devi,Rajender Kashyap,Uttar Kumar
1500,Baankelal,1972.0,131.0,Drama,6.0,55.0,Ratan Kumar,Abhi Bhattacharya,Sulochana Chatterjee,Prithviraj Kapoor
1501,Baankey Ki Crazy Baraat,2015.0,138.0,Comedy,6.2,356.0,Aijaz Khan,Rajpal Yadav,Tia Bajpai,Rakesh Bedi
1502,Baap Bete,1959.0,131.0,"Drama, Family",6.0,55.0,Raja Paranjpe,Ashok Kumar,Shyama,Chitra
1503,Baap Beti,1954.0,131.0,Drama,6.8,14.0,Bimal Roy,Sunalini Devi,Dolly,Nasir Hussain
1504,Baap ji,1996.0,136.0,Action,6.0,55.0,D. Rajendra Babu,Aamani,Sihi Kahi Chandru,Pankaj Dheer
1505,Baap Ka Baap,2003.0,131.0,Thriller,5.0,8.0,Gajendra Ahire,Laxmikant Berde,Rajesh Deshmukh,Vrunda Gajendra
1506,Baap Numbri Beta Dus Numbri,1990.0,152.0,"Action, Comedy, Crime",6.0,303.0,Aziz Sejawal,Asrani,Gulshan Grover,Jamuna
1507,Baap Re Baap,1955.0,130.0,"Comedy, Drama, Family",6.4,28.0,Abdul Rashid Kardar,Kishore Kumar,Chand Usmani,Smriti Biswas
1508,Baap Re Baap,1968.0,131.0,Animation,6.0,55.0,Ram Mohan,,,
1509,Baar Baar Dekho,2016.0,141.0,"Action, Comedy, Drama",5.3,6423.0,Nitya Mehra,Sidharth Malhotra,Katrina Kaif,Sayani Gupta
1510,Baaraat Company,2017.0,124.0,"Comedy, Romance",6.2,179.0,Syed Ahmad Afzal,Sandeepa Dhar,Archana Gautam,Anurita Jha
1511,Baarish,1957.0,133.0,"Crime, Drama, Romance",7.2,37.0,Shankar Mukherjee,Dev Anand,Nutan,Anwar Hussain
1512,Baarish,1993.0,131.0,Drama,6.4,8.0,Narendra Grewal,Sadashiv Amrapurkar,Mohnish Bahl,Rakesh Bedi
1513,Baarish Aur Chowmein,2018.0,48.0,Drama,6.1,271.0,Tigmanshu Dhulia,Amit Sadh,Taapsee Pannu,Tariq Naved Siddiqui
1514,Baarood (The Fire) - A Love Story,2012.0,135.0,"Action, Crime, Drama",3.2,13.0,Jagdish Pandey,Sunil Shetty,Shilpa Shirodkar,Moon Moon Sen
1515,Baat Ban Jaye,1986.0,148.0,Comedy,6.4,165.0,Bharat Rangachary,Zeenat Aman,Amol Palekar,Utpal Dutt
1516,Baat Bann Gayi,2013.0,108.0,"Comedy, Romance",5.1,69.0,Shuja Ali,Anisa Butt,Ali Fazal,Gulshan Grover
1517,Baat Ek Raat Ki,1962.0,145.0,"Mystery, Romance, Thriller",6.8,116.0,Shankar Mukherjee,Dev Anand,Waheeda Rehman,Chandrashekhar
1518,Baat Hai Pyaar Ki,1991.0,131.0,Romance,6.0,55.0,B.R. Ishara,Saahil Chadha,Archana Joglekar,Sulabha Deshpande
1519,Baawri,1982.0,131.0,Family,4.0,6.0,A.C. Trilogchander,Rakesh Roshan,Jaya Prada,Yogeeta Bali
1520,Baaz,1953.0,140.0,"Action, Adventure, Musical",7.3,93.0,Guru Dutt,Guru Dutt,Geeta Bali,K.N. Singh
1521,Baaz,1992.0,131.0,"Action, Mystery, Thriller",5.7,49.0,S.K. Subash,Govinda,Sonam,Abhinav Chaturvedi
1522,Baaz Bahadur,1936.0,131.0,,6.0,55.0,Haribhai Raghunathji Desai,Bhim,Jeena,Navinchandra
1523,Baaz: A Bird in Danger,2003.0,180.0,"Mystery, Thriller",3.2,344.0,Tinnu Verma,Jackie Shroff,Sunil Shetty,Karisma Kapoor
1524,Baazaar,2018.0,137.0,"Crime, Drama, Thriller",6.6,4831.0,Gauravv K. Chawla,Radhika Apte,Saif Ali Khan,Chitrangda Singh
1525,Baazi,1951.0,143.0,"Crime, Drama, Musical",7.3,343.0,Guru Dutt,Dev Anand,Geeta Bali,Kalpana Kartik
1526,Baazi,1968.0,141.0,"Crime, Musical, Mystery",6.4,60.0,Moni Bhattacharjee,Waheeda Rehman,Dharmendra,Johnny Walker
1527,Baazi,1984.0,125.0,Action,6.3,65.0,Raj N. Sippy,Dharmendra,Rekha,Mithun Chakraborty
1528,Baazi,1995.0,183.0,"Action, Thriller, Crime",6.5,2248.0,Ashutosh Gowariker,Aamir Khan,Mamta Kulkarni,Paresh Rawal
1529,Baazigar,1993.0,175.0,"Crime, Drama, Musical",7.7,26583.0,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Shah Rukh Khan,Kajol
1530,Baazigar,1959.0,131.0,Action,6.0,55.0,Nanabhai Bhatt,Nirupa Roy,Paidi Jairaj,Tiwari
1531,Baazigar,1972.0,133.0,"Adventure, Comedy, Crime",7.5,6.0,Karunesh Thakur,Vijayalalitha,Roopesh Kumar,Bindu
1532,Baazigar,1938.0,131.0,,6.0,55.0,Trilok Kapoor,,,
1533,Baazigar: The Iron Man,1997.0,131.0,Action,6.0,55.0,Sarath Kumar,Nagma,Rambha,
1534,Baba,1997.0,131.0,Action,6.0,55.0,Rana Jaiswal,Ali Khan,Saud Khan,Alka Kubal
1535,Baba Haji Malang,1978.0,131.0,Drama,6.0,55.0,,,,
1536,Baba Sathya Sai,2017.0,131.0,Biography,4.2,8.0,Kodi Ramakrishna,Sreejith Vijay,Jaya Prada,Sarath Babu
1537,Baba Teerthnath,2022.0,131.0,"Comedy, Drama",6.0,55.0,Kunjan Verma,Hanan Baba,Prerna Rawat,Dhruv Lau
1538,Babar,1960.0,131.0,"Drama, Family",6.8,16.0,Hemen Gupta,Gajanan Jagirdar,Azra,Sulochana Choudhury
1539,Babla,1951.0,131.0,Drama,7.4,11.0,Agradoot,Paresh Bannerjee,Naren Bhattacharya,Nibhanani Devi
1540,Babla,1953.0,131.0,,6.0,55.0,N.B. Agrami,Bibhuti Laha,Paresh Bannerjee,Hiralal
1541,Babloo Bachelor,2021.0,131.0,Comedy,6.0,55.0,Agnidev Chatterjee,Aakash Dabhade,Rajesh Sharma,Asrani
1542,Babloo Happy Hai,2014.0,113.0,"Comedy, Drama, Romance",6.7,83.0,Nila Madhab Panda,Sahil Anand,Erica Fernandes,Parvin Dabas
1543,Babooji,1950.0,131.0,,6.0,55.0,Master Bhagwan,Master Bhagwan,,
1544,Babu,1985.0,148.0,"Drama, Family",7.1,64.0,A.C. Trilogchander,Rajesh Khanna,Hema Malini,Mala Sinha
1545,Babu Badshah,2000.0,131.0,Action,6.0,55.0,Prakash Kapoor,Mithun Chakraborty,Mohan Joshi,Javed Khan
1546,Babuaa,2016.0,131.0,Family,6.0,55.0,Amitabh Tripathi,Manu Krishna,Kantika Mishra,Surendra Pal
1547,Babuji Ek Ticket Bambai,2017.0,131.0,"Comedy, Drama",6.0,55.0,Arvind Tripathi,Sudha Chandran,Farhan Rehman Khan,Amjad Qureshi
1548,Babul,1989.0,131.0,,6.0,55.0,Phani Majumdar,,,
1549,Babul,1950.0,142.0,Drama,7.3,72.0,S.U. Sunny,Nargis,Dilip Kumar,Amar
1550,Babul,1986.0,162.0,Drama,4.8,9.0,Govind Moonis,Gyan Shivpuri,Upasna Singh,Kanchan Rawal
1551,Babul Ki Galiyan,1972.0,131.0,"Drama, Romance",5.9,9.0,S.D. Narang,Sanjay Khan,Hema Malini,Shatrughan Sinha
1552,Babula,1985.0,129.0,"Drama, Sci-Fi",5.9,10.0,Sadhu Meher,Debu Bramha,Anita Das,Gadi
1553,Babumoshai Bandookbaaz,2017.0,122.0,"Action, Crime, Thriller",6.9,1974.0,Kushan Nandy,Nawazuddin Siddiqui,Bidita Bag,Jatin Goswami
1554,Baby,2015.0,159.0,"Action, Thriller",8.0,53997.0,Neeraj Pandey,Akshay Kumar,Danny Denzongpa,Rana Daggubati
1555,Bach ke Zara,2008.0,99.0,"Comedy, Horror, Musical",2.7,71.0,Salim Raza,Amit,Satyam Rajesh,Jayesh Shah
1556,Bachao - Inside Bhoot Hai...,2010.0,131.0,Horror,5.4,10.0,Shyam Ramsay,Aniruddh Agarwal,Sadashiv Amrapurkar,Anisshka
1557,Bachchan Pandey,2022.0,131.0,Action,6.0,55.0,Farhad Samji,Akshay Kumar,Jacqueline Fernandez,Kriti Sanon
1558,Bachche Teen Aur Daku Chhe,1982.0,131.0,"Adventure, Family",6.0,55.0,Govind Saraiya,Farita Boyce,Geetanjali,Parag Parekh
1559,Bachchon Ka Khel,1946.0,131.0,,6.0,55.0,Raja Nene,Meena Kumari,,
1560,Bachchon Ka Khel,1983.0,131.0,Drama,6.0,55.0,,,,
1561,Bachelor Husband,1950.0,131.0,,6.0,55.0,Noor Mohammad Charlie,Noor Mohammad Charlie,,
1562,Bachelor of Love B.A. Fail,2015.0,131.0,Drama,6.0,55.0,Harvinder Pal,Manoj Kaushik,Payal Kotangale,
1563,Bachelor Party,2009.0,131.0,"Comedy, Drama",4.9,34.0,Ishaan Trivedi,Jimmy Sheirgill,Arbaaz Khan,Nauheed Cyrusi
1564,Bachke Rahna,1949.0,131.0,"Action, Comedy",6.0,55.0,Master Bhagwan,Master Bhagwan,Baburao Pahelwan,Leela Gupte
1565,Bachke Rehna Re Baba,2005.0,130.0,"Comedy, Drama, Romance",2.7,202.0,Govind Menon,Rekha,Mallika Sherawat,Paresh Rawal
1566,Bachna Ae Haseeno,2008.0,152.0,"Comedy, Drama, Romance",6.1,10674.0,Siddharth Anand,Ranbir Kapoor,Deepika Padukone,Bipasha Basu
1567,Bachpan,1970.0,133.0,"Action, Comedy, Crime",6.3,31.0,Kolli Pratyagatma,Sulochana Chatterjee,Pratima Devi,Baby Gayatri
1568,Bachpan,1963.0,131.0,Drama,5.2,5.0,Nazir,Bhudo Advani,David,Daisy Irani
1569,Bachpan,1945.0,131.0,Drama,6.0,55.0,Homi Wadia,Baby Madhuri,Mazhar Khan,Chandraprabha
1570,Bachpan Ek Dhokha,2015.0,131.0,,6.0,55.0,Rajiv Sharma,Tom Alter,Helen,Padmini Kolhapure
1571,Back to Dad,2017.0,120.0,Drama,8.2,9.0,Prabhat Kumar,Suvahhdan Angre,Kalpana Bhattarai,Samuel Kamble
1572,Backwaters,2022.0,131.0,"Drama, Thriller",6.0,55.0,Abhinav Thakur,,,
1573,Bad Aur Badnaam,1984.0,135.0,"Family, Thriller",6.2,12.0,Feroz Chinoy,Sanjeev Kumar,Parveen Babi,Shatrughan Sinha
1574,Bad Boy,2020.0,131.0,"Comedy, Romance",6.0,55.0,Rajkumar Santoshi,Namashi Chakraborthy,Amrin Qureshi,Madhu Anand Chandhock
1575,Bad Boys,2003.0,118.0,Thriller,3.3,6.0,Vicky S. Kumar,Rakesh Bedi,Suresh Chatwal,Avtar Gill
1576,Bad Freind,2005.0,131.0,"Drama, Thriller",6.0,55.0,Aditya Om,Meghna Naidu,Pooja Bharti,Shweta Menon
1577,Bad Luck Govind,2009.0,120.0,"Comedy, Crime, Drama",3.5,17.0,Varun Khanna,Gaurav Kapoor,Hrishitaa Bhatt,Govind Namdeo
1578,Bada Aadmi,1961.0,131.0,Action,6.2,5.0,Raj Kaushal,Laxmi Chhaya,Vijaya Choudhury,Jayant
1579,Bada Baazigar,1996.0,131.0,Action,6.0,55.0,Prabhu,Roja,,
1580,Bada Beta,2005.0,131.0,Action,6.0,55.0,Ashima Bhalla,Sindhu Menon,Vishnuvardhan,
1581,Bada Bhai,1957.0,131.0,"Drama, Family",5.1,8.0,K. Amarnath,Ajit,Kamini Kaushal,Anant Kumar
1582,Bada Din,1998.0,131.0,"Drama, Romance",6.2,45.0,Anjan Dutt,Shabana Azmi,Marc Robinson,Tara Deshpande
1583,Bada Kabutar,1973.0,144.0,"Action, Comedy, Crime",5.0,22.0,Deven Verma,Ashok Kumar,Deven Verma,Nikhilesh
1584,Badal,1951.0,146.0,"Action, Romance",6.7,34.0,Amiya Chakrabarty,Madhubala,Prem Nath,Purnima
1585,Badal,1966.0,150.0,"Action, Adventure, Musical",7.0,10.0,Aspi Irani,Sheikh Mukhtar,L. Vijayalakshmi,Sanjeev Kumar
1586,Badal,2000.0,166.0,"Action, Crime, Drama",4.9,1281.0,Raj Kanwar,Bobby Deol,Rani Mukerji,Ashutosh Rana
1587,Badal Aur Bijli,1956.0,131.0,Action,6.0,55.0,Maurice,M. Kumar,Ameeta,Yashodra Katju
1588,Badaltey Rishtey,1978.0,136.0,"Drama, Romance",6.7,62.0,Raghunath Jhalani,Jeetendra,Rishi Kapoor,Reena Roy
1589,Badalti Duniya,1943.0,131.0,,6.0,55.0,Mohan Sinha,Mumtaz Shanti,Trilok Kapoor,K.C. Dey
1590,Badan,1992.0,131.0,Thriller,6.0,55.0,Harish,Shyamala,,
1591,Bade Dil Wala,1983.0,146.0,"Drama, Action, Crime",6.3,118.0,Bhappi Sonie,Rishi Kapoor,Tina Ambani,Sarika
1592,Bade Dilwala,1999.0,146.0,"Comedy, Drama, Romance",3.6,1289.0,Shakeel Noorani,Sunil Shetty,Priya Gill,Paresh Rawal
1593,Bade Ghar Ki Bahu,1960.0,131.0,"Drama, Family, Musical",6.0,55.0,Kundan Kumar,Geeta Bali,Kuldip Kaur,Shammi
1594,Bade Ghar Ki Beti,1989.0,138.0,Drama,6.0,66.0,Kalpataru,Shammi Kapoor,Rishi Kapoor,Meenakshi Sheshadri
1595,Bade Ladaiya Mahobe Wale,1993.0,131.0,Drama,6.0,55.0,Arun Jaitley,Sanjeev Puri,,
1596,Bade Miyan Chote Miyan,1998.0,140.0,"Action, Comedy, Musical",5.8,2787.0,David Dhawan,Amitabh Bachchan,Govinda,Raveena Tandon
1597,Bade Sahab,1951.0,131.0,,6.0,55.0,G.P. Pawar,,,
1598,Bade Sarkar,1957.0,131.0,,6.0,55.0,Kishore Sahu,Kishore Sahu,Kamini Kaushal,Sajjan
1599,Badhaai Do,2021.0,131.0,Comedy,6.0,55.0,Harshavardhan Kulkarni,Rajkummar Rao,Bhumi Pednekar,
1600,Badhaai Ho,2018.0,124.0,"Comedy, Drama",8.0,29518.0,Amit Ravindernath Sharma,Ayushmann Khurrana,Neena Gupta,Gajraj Rao
1601,Badhaai Ho Badhaai,2002.0,155.0,"Comedy, Drama, Musical",4.5,673.0,Satish Kaushik,Anil Kapoor,Rana Jung Bahadur,Anang Desai
1602,Badhe Chalo,1937.0,131.0,,6.0,55.0,Mohan Sinha,Sarla,Radharani,Snehlata
1603,Badhti Ka Naam Dadhi,1974.0,131.0,Drama,6.7,37.0,Kishore Kumar,Kishore Kumar,I.S. Johar,Sheetal
1604,Badhu Nirupama,1987.0,146.0,Drama,6.9,7.0,Jugal Debata,Isha Bebarta,Debu Bose,Anu Choudhury
1605,Badi Baat,1944.0,131.0,,6.0,55.0,Mazhar Khan,Ulhas,,
1606,Badi Bahen,1950.0,131.0,,6.0,55.0,Ram Daryani,Suraiya,Rehman,Geeta Bali
1607,Badi Bahen,1937.0,153.0,,6.0,55.0,Nitin Bose,K.L. Saigal,Leela Desai,Devbala
1608,Badi Bahen,1993.0,130.0,"Drama, Family",5.4,14.0,Kalpataru,Asrani,Raj Babbar,Chandrashekhar
1609,Badi Bahu,1951.0,131.0,"Drama, Family",6.0,55.0,Shamim Bhagat,Chanda,Sulochana Chatterjee,Nimmi
1610,Badi Didi,1939.0,128.0,,6.0,55.0,Amar Mullick,Molina Devi,Pahadi Sanyal,Chandrabati Devi
1611,Badi Didi,1969.0,156.0,"Comedy, Drama, Romance",4.4,11.0,Narendra Suri,Nanda,Jeetendra,Om Prakash
1612,Badi Maa,1945.0,122.0,"Drama, War",5.4,9.0,Master Vinayak,Sitara Devi,Girish,Ishwarlal
1613,Badi Maa,1974.0,122.0,"Drama, Family",6.0,55.0,Ram Narayan Gabale,Gajanan Jagirdar,Usha Kiran,Dilip Raj
1614,Badkaar,1986.0,129.0,Drama,6.7,7.0,Shiv Kumar,Sanjeev Kumar,Apeksha,Sadhana Singh
1615,Badla,1943.0,149.0,,6.0,55.0,Master Bhagwan,,,
1616,Badla,1974.0,112.0,Thriller,6.2,13.0,Vijay,Shatrughan Sinha,Moushumi Chatterjee,Johnny Walker
1617,Badla,2004.0,131.0,"Action, Drama",6.0,55.0,,,,
1618,Badla,2019.0,118.0,"Crime, Drama, Mystery",7.8,23890.0,Sujoy Ghosh,Amitabh Bachchan,Taapsee Pannu,Amrita Singh
1619,Badla Aur Balidan,1980.0,134.0,"Action, Drama",7.6,11.0,Kawal Sharma,Rajendra Kumar,Vinod Mehra,Asha Parekh
1620,Badla Aur Balidan,1994.0,131.0,Action,6.0,55.0,Gautami,Suresh Gopi,,
1621,Badla Aurat Ka,2000.0,131.0,Action,6.0,55.0,Sahila Chaddha,Akbal Dhani,Manik Irani,Bharat Kapoor
1622,Badla Aurat Ka,1987.0,131.0,Action,6.0,55.0,Sarath Babu,Silk Smitha,,
