,Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Box_office
2016,Beqasoor,1950.0,131.0,Drama,6.7,17.0,K. Amarnath,Madhubala,Ajit,Pramila,Average
2017,Beqasoor,1980.0,131.0,"Action, Crime, Drama",4.6,11.0,B.P. Harisinghaney,Vikas Anand,Vijay Arora,Master Bhagwan,Average
2018,Beqasoor,1969.0,131.0,Action,6.0,55.0,Kamran,Shyam Kumar,Maruti,Ratnamala,Average
2019,Berahem,1980.0,131.0,Unknown,6.0,55.0,Jai Prakash,Mehmood,Navin Nischol,Ranjeet,Average
2020,Be-Reham,1980.0,147.0,"Action, Crime, Thriller",6.8,32.0,Raghunath Jhalani,Sanjeev Kumar,Mala Sinha,Shatrughan Sinha,Average
2021,Besabar,2008.0,112.0,"Drama, Family",6.0,55.0,Dinesh Chaudhary,Uttar Kumar,Raju Maan,Sangeeta Panwar,Average
2022,Besahara,1987.0,131.0,Drama,6.0,55.0,B.R. Ishara,Rajan Sippy,Vidyashree,Priya Tendulkar,Average
2023,Be-Shaque,1981.0,121.0,"Adventure, Crime, Drama",6.3,30.0,Kashinath,Mithun Chakraborty,Amrish Puri,Sonia Sahni,Average
2024,Besharam,1978.0,139.0,"Action, Drama",5.4,114.0,Deven Verma,Sharmila Tagore,Amitabh Bachchan,Bindu,Average
2025,Besharam,2013.0,143.0,"Action, Comedy, Romance",3.6,5355.0,Abhinav Kashyap,Ranbir Kapoor,Pallavi Sharda,Rishi Kapoor,Below_average
2026,Besharam Ratein,1990.0,131.0,Thriller,6.0,55.0,Unknown,Unknown,Unknown,Unknown,Average
2027,Best of Luck,2016.0,144.0,Drama,6.0,55.0,Sanjay Punjabi,Unknown,Unknown,Unknown,Average
2028,Best Partner,2005.0,131.0,Thriller,6.0,55.0,Suresh Jain,Tanveer,Karishma,Reena Kapoor,Average
2029,Beta,1992.0,171.0,"Drama, Romance",6.3,1956.0,Indra Kumar,Anil Kapoor,Madhuri Dixit,Aruna Irani,Average
2030,Beta,1982.0,131.0,Drama,6.0,55.0,Arun Govil,Madhu Kapoor,Vikram Makandar,Madan Puri,Average
2031,Beta Ho To Aisa,1994.0,131.0,Drama,3.8,45.0,C.P. Dixit,Ravi Anand,Vikas Anand,Anuradha,Below_average
2032,Betaab,1983.0,162.0,"Family, Romance",6.6,532.0,Rahul Rawail,Shammi Kapoor,Nirupa Roy,Prem Chopra,Average
2033,Betaab,1952.0,131.0,Unknown,6.0,55.0,Harbans,Ashok Kumar,Geeta Bali,Motilal,Average
2034,Betaabi,1997.0,188.0,"Drama, Romance",4.4,104.0,Rajesh Ram Singh,Chandrachur Singh,Arshad Warsi,Anjala Zaveri,Average
2035,Betaaj Badshah,1994.0,166.0,"Action, Drama",4.8,44.0,Iqbal Durrani,Raaj Kumar,Shatrughan Sinha,Jay Mehta,Average
2036,Beti,1941.0,131.0,Unknown,6.0,55.0,Jayant Desai,Arun,Khurshid Begum,Unknown,Average
2037,Beti,1969.0,135.0,Drama,5.8,10.0,Harmesh Malhotra,Nanda,Sanjay Khan,Kishore Sahu,Average
2038,Beti,1957.0,131.0,Drama,6.0,55.0,Suraj Prakash,Master Bhagwan,Rajan Kapoor,Ragini,Average
2039,Beti,1982.0,131.0,Drama,6.0,55.0,Rajendra Singh 'Atish',Sudhir Dalvi,Desh Gautam,Sangeeta Naik,Average
2040,Beti Bete,1964.0,145.0,"Comedy, Drama, Family",6.8,31.0,L.V. Prasad,Sunil Dutt,Saroja Devi B.,Jamuna,Average
2041,Beti No. 1,2000.0,131.0,"Comedy, Drama, Family",3.7,241.0,Rama Rao Tatineni,Rakesh Bedi,Laxmikant Berde,Birbal,Below_average
2042,Beti Tumhare Jaisi,1969.0,131.0,Drama,6.0,55.0,Gajanan Jagirdar,Paidi Jairaj,Ashok Kumar,Mahesh Kumar,Average
2043,Between The Lines,2014.0,78.0,Drama,7.2,40.0,Ritesh Menon,Nandita Das,Subodh Maskara,Unknown,Hit
2044,Bewafa,1952.0,112.0,"Drama, Romance",7.6,80.0,M.L. Anand,Nargis,Ashok Kumar,Raj Kapoor,Hit
2045,Bewafa Biwi,1999.0,131.0,Thriller,6.0,55.0,Ganesh Babu,Jawahar,Meenu,Vichithra,Average
2046,Bewafa Ki Khatir,1993.0,131.0,Drama,6.0,55.0,Ramesh Tekoit,Unknown,Unknown,Unknown,Average
2047,Bewafa Qatil,1998.0,131.0,"Drama, Thriller",6.0,55.0,Rajan Thomas,Rohit Bhatia,Ruhi Sawant,Manish Wadhwa,Average
2048,Bewafa Sanam,1995.0,144.0,"Drama, Romance",5.1,104.0,Gulshan Kumar,Krishan Kumar,Shilpa Shirodkar,Sagar,Average
2049,Bewafaa,2005.0,151.0,"Drama, Romance",4.4,2393.0,Dharmesh Darshan,Anil Kapoor,Akshay Kumar,Kareena Kapoor,Average
2050,Bewafai,1985.0,145.0,"Drama, Romance",5.6,58.0,R. Thyagaraajan,Rajesh Khanna,Rajinikanth,Padmini Kolhapure,Average
2051,Bewaffa Se Waffa,1992.0,172.0,Romance,4.9,75.0,Saawan Kumar Tak,Vivek Mushran,Juhi Chawla,Nagma,Average
2052,Bewajah,2017.0,127.0,Thriller,6.3,30.0,Jagat Joon,Anshu,Vishvendra Singh,Dhirendra Gupta,Average
2053,Bewakoofiyaan,2014.0,119.0,"Comedy, Drama, Romance",5.5,3938.0,Nupur Asthana,Ayushmann Khurrana,Sonam Kapoor,Rishi Kapoor,Average
2054,Bewaqoof,1960.0,160.0,Musical,5.2,35.0,I.S. Johar,Kishore Kumar,Mala Sinha,I.S. Johar,Average
2055,Beyond All Boundaries,2013.0,97.0,"Documentary, Biography, Sport",8.0,158.0,Sushrut Jain,Kunal Nayyar,Unknown,Unknown,Hit
2056,Beyond Blue: An Unnerving Tale of a Demented Mind,2015.0,99.0,"Crime, Fantasy, Mystery",6.7,7.0,Zanane Rajsingh,Tushar Pandey,Isheta Sarckar,Dipti Joshi,Average
2057,Beyond Bollywood,2013.0,64.0,"Documentary, Biography, Drama",6.1,58.0,Adam Dow,Ruchika Muchhala,Pooja Kasekar,Harry Key,Average
2058,Beyond the 3rd kind,2015.0,131.0,Drama,6.0,55.0,Shiraz Henry,Gulshan Pandey,Rahim,Natasha Sikka,Average
2059,Beyond the Clouds,2017.0,120.0,"Drama, Family",7.0,2148.0,Majid Majidi,Ishaan Khattar,Malavika Mohanan,Goutam Ghose,Hit
2060,Bezubaan,1982.0,137.0,"Drama, Romance",7.3,70.0,Bapu,Shubham Kumar Singh,Shashi Kapoor,Reena Roy,Hit
2061,Bezubaan Ishq,2015.0,128.0,"Musical, Romance",4.0,68.0,Jaswant Gangani,Mugdha Godse,Sneha Ullal,Nishant Malkani,Hit
2062,Bezuban,1962.0,131.0,Drama,6.0,55.0,Ram Kamlani,Ashok Kumar,Nirupa Roy,Aroop Kumar Ganguly,Average
2063,Bhaag Bawre Aandhi Aayi,2018.0,131.0,Drama,6.0,55.0,Gaurav Bal,Saharsh Kumar Shukla,Durgesh Kumar,Unknown,Average
2064,Bhaag Johnny,2015.0,118.0,"Action, Fantasy, Thriller",5.2,963.0,Shivam Nair,Kunal Khemu,Zoa Morani,Mandana Karimi,Average
2065,Bhaag Milkha Bhaag,2013.0,186.0,"Biography, Drama, Sport",8.2,62636.0,Rakeysh Omprakash Mehra,Farhan Akhtar,Sonam Kapoor,Pawan Malhotra,Hit
2066,Bhaagte Raho,2018.0,115.0,Comedy,3.6,18.0,Praful D.S. Tiwari,Riya Deepsi,Mukesh Fotwani,Dinesh Hingoo,Below_average
2067,Bhaai Ki Shaadi,,131.0,Comedy,6.0,55.0,Yudhishthir Singh,Bhavesh Kumar,Sonia Birje,Vindu Dara Singh,Average
2068,Bhaangarh,2014.0,131.0,Horror,6.7,32.0,Dilip Sood,Adeel Chaudhry,Suzzana Mukherjee,Debonita Sur,Average
2069,Bhaavna,1972.0,131.0,Drama,6.0,55.0,Karunesh Thakur,Dev Dutt,Padma Khanna,Dev Kumar,Average
2070,Bhabhi,1991.0,145.0,"Comedy, Drama, Family",4.1,131.0,Kishore Vyas,Bhanupriya,Govinda,Juhi Chawla,Average
2071,Bhabhi,1957.0,165.0,Drama,6.7,47.0,R. Krishnan,S. Panju,Balraj Sahni,Pandharibai,Average
2072,Bhabhi Ka Ashirwad,1972.0,131.0,Drama,6.0,55.0,Ramkumar Bohra,Bharat Bhushan,Faryal,Mehmood Jr.,Average
2073,Bhabhi Ka Chumma,2005.0,131.0,Thriller,6.0,55.0,Unknown,Unknown,Unknown,Unknown,Average
2074,Bhabhi Ki Chudiyan,1961.0,168.0,"Drama, Family",5.4,30.0,Sadashiv J. Row Kavi,Balraj Sahni,Meena Kumari,Sailesh Kumar,Average
2075,Bhabhipedia,2018.0,107.0,"Comedy, Romance",8.3,84.0,Saumyy Shivhare,Jay Solanki,Hrishitaa Bhatt,Rajkumar Kanojia,Hit
2076,Bhabi,1938.0,131.0,"Drama, Family",6.3,9.0,Franz Osten,Renuka Devi,Paidi Jairaj,Meera,Average
2077,Bhadaas,2013.0,89.0,Thriller,2.5,26.0,Ajay Yadav,Meera,Aryeman Ramsay,Ashutosh Kaushik,Below_average
2078,Bhagam Bhag,1956.0,101.0,"Action, Comedy, Crime",6.0,21.0,Master Bhagwan,Kishore Kumar,Shashikala,Smriti Biswas,Average
2079,Bhagam Bhag,2006.0,157.0,"Comedy, Drama, Thriller",6.5,11651.0,Priyadarshan,Akshay Kumar,Govinda,Paresh Rawal,Average
2080,Bhagat Gora Kumbhar,1978.0,131.0,"Drama, History",6.8,8.0,Dinesh Rawal,Rajni Bala,Ramesh Mehta,Shrikant Soni,Average
2081,Bhagat Gora Kumbhar,1981.0,131.0,"Adventure, Drama, History",6.0,55.0,Dinesh Rawal,Rajni Bala,Ramesh Mehta,Shrikant Soni,Average
2082,Bhagat Narsinh Mehta,1980.0,131.0,Drama,6.0,55.0,Unknown,Unknown,Unknown,Unknown,Average
2083,Bhagat Singh,2002.0,131.0,Drama,3.2,6.0,Anand Sagar,Deepak Dutta,Kumar Hegde,Mukul Nag,Below_average
2084,Bhagaude,2012.0,94.0,"Comedy, Drama",6.0,55.0,Prasad Bhardwaja,Swapnil Kumawat,Ravi Sah,Vinay Sharma,Average
2085,Bhagawat Ek Jung,2001.0,113.0,Action,4.6,18.0,Deepak Pawar,Mithun Chakraborty,Manvi Goswami,Mohan Joshi,Average
2086,Bhageeratha,2005.0,158.0,"Action, Drama",5.6,227.0,Rasool Ellore,Ravi Teja,Shriya Saran,Brahmanandam,Average
2087,Bhagmati,2005.0,160.0,"Animation, Drama, History",6.1,57.0,Ashok Kaul,Tabu,Milind Soman,J.V. Somayajulu,Average
2088,Bhago Bhoot Aayaa,1985.0,131.0,"Comedy, Horror, Thriller",5.9,43.0,Krishna Naidu,Ashok Kumar,Deven Verma,Kaajal Kiran,Average
2089,Bhago Boot,2001.0,81.0,Family,6.5,14.0,Sai Paranjape,Vinay Katore,Nedumudi Venu,Unknown,Average
2090,Bhagta Bhoot,1943.0,131.0,Unknown,6.0,55.0,Ramanlal Desai,Baburao Pahelwan,Brij Rani,Ali,Average
2091,Bhagwaan Dada,1986.0,147.0,"Drama, Thriller",4.3,169.0,J. Om Prakash,Rajinikanth,Rakesh Roshan,Sridevi,Average
2092,Bhagwan Aur Shaitan,1959.0,100.0,Action,6.0,55.0,Manmohan Sabir,Paidi Jairaj,Sheila Ramani,Unknown,Average
2093,Bhagwan Parshuram,1970.0,136.0,Drama,8.7,10.0,Babubhai Mistry,Niranjan Sharma,Shalini,Trilok Kapoor,Hit
2094,Bhagwan Samaye Sansar Mein,1976.0,131.0,"Drama, Family, History",6.0,55.0,Satish Kumar,Abhi Bhattacharya,Bharat Bhushan,Mohan Choti,Average
2095,Bhagwan Shri Krishna,1950.0,131.0,Fantasy,6.0,55.0,Raja Yagnik,Usha Kiran,Unknown,Unknown,Average
2096,Bhagwan Shri Krishna,1985.0,138.0,"Action, Adventure, Fantasy",6.0,10.0,Ramkumar Bohra,Ajit Bhalla,Kumud Bole,Manher Desai,Average
2097,Bhagwan... tera Bhala ho!,2012.0,108.0,"Comedy, Drama",6.0,55.0,Mohan Azaad,Vijay Singh Parmar,Urvashi Yadav,Madhav Banati,Average
2098,Bhagwat Mahima,1955.0,131.0,Fantasy,6.0,55.0,Vithaldas Panchotia,Kishore Kumar,Ashok Kumar,Nimmi,Average
2099,Bhagya,1981.0,131.0,Drama,6.0,55.0,A.K. Hangal,Jagdeep,Vinay Kumar,Sushma Verma,Average
2100,Bhagya,2015.0,109.0,"Drama, Family, Musical",6.0,55.0,Himmat Shekhawat,Deepa Katare,Krishna Dutt Sharma,Vivek Pathak,Average
2101,Bhagya Laxmi,1944.0,131.0,Unknown,6.0,55.0,Sarvottam Badami,Shanta Apte,Unknown,Unknown,Average
2102,Bhagyawan,1953.0,131.0,"Drama, Family",6.0,55.0,Datta Dharmadhikari,Nirupa Roy,Raja Nene,Yashodra Katju,Average
2103,Bhagyawan,1994.0,136.0,Drama,4.4,68.0,S.K. Subash,Govinda,Juhi Chawla,Pran,Average
2104,Bhai,1997.0,147.0,"Action, Drama",5.1,353.0,Deepak S. Shivdasani,Sunil Shetty,Pooja Batra,Sonali Bendre,Average
2105,Bhai,1944.0,131.0,Unknown,6.0,55.0,Krishna Dev Mehra,Zahur Raja,Unknown,Unknown,Average
2106,Bhai Aakhir Bhai Hota Hai,1982.0,131.0,Drama,6.0,55.0,R.C. Nanda,Vikram Makandar,Kumari Naaz,Monty Nath,Average
2107,Bhai Bahen,1969.0,151.0,"Drama, Family",4.9,24.0,A. Bhimsingh,Ashok Kumar,Sunil Dutt,Nutan,Average
2108,Bhai Bahen,1950.0,131.0,Musical,6.0,55.0,Ram Daryani,Geeta Bali,Bharat Bhushan,Jeevan,Average
2109,Bhai Bhai,1970.0,131.0,"Action, Drama, Family",5.7,18.0,Raja Nawathe,Sunil Dutt,Asha Parekh,Mumtaz,Average
2110,Bhai Bhai,1997.0,172.0,Action,3.8,24.0,Sikander Bharti,Manek Bedi,Samrat Mukherjee,Megha,Below_average
2111,Bhai Ho To Aisa,1972.0,131.0,"Action, Comedy, Drama",5.7,37.0,Manmohan Desai,Jeetendra,Hema Malini,Shatrughan Sinha,Average
2112,Bhai Ho To Aisa,2003.0,131.0,Drama,6.0,55.0,Meena,Arjun Sarja,Unknown,Unknown,Average
2113,Bhai Ka Dushman Bhai,1986.0,131.0,Drama,6.0,55.0,Sudesh Issar,Puneet Issar,Rameshwari,Sujit Kumar,Average
2114,Bhai No 1,2000.0,130.0,Action,6.0,55.0,Deepak Anand,Bunty Anand,Arun Bakshi,Puneet Issar,Average
2115,Bhai Sahab,1954.0,131.0,Unknown,6.0,55.0,Ravindra Dave,C.H. Atma,Smriti Biswas,Jagdeep,Average
2116,Bhai Thakur,2000.0,118.0,"Action, Drama",3.2,9.0,William Hunt,Raja,Willy,Dharmendra,Below_average
2117,Bhaia Dooj,1947.0,131.0,Unknown,6.0,55.0,Narottam Vyas,Sharda,Unknown,Unknown,Average
2118,Bhai-Bahen,1959.0,136.0,"Drama, Family",6.0,5.0,G.P. Sippy,Daisy Irani,Rajan Kapoor,Kathana,Average
2119,Bhai-Bhai,1956.0,164.0,Drama,5.8,15.0,M.V. Raman,Ashok Kumar,Kishore Kumar,Nimmi,Average
2120,Bhaichara,1943.0,131.0,Drama,6.0,55.0,G.K. Mehta,Bharat Bhushan,Isabela,Bina Paul,Average
2121,Bhaijan,2021.0,131.0,Action,6.0,55.0,Sajid Khan,Ajaz Khan,Mamta Soni,Jin Joshi,Average
2122,Bhairav,2001.0,133.0,Action,4.6,29.0,T.L.V. Prasad,Hemant Birje,Mithun Chakraborty,Jack Gaud,Average
2123,Bhairava Dweepam,1994.0,162.0,"Action, Adventure, Comedy",7.8,533.0,Singeetam Srinivasa Rao,Nandamuri Balakrishna,Roja,Satyanarayana Kaikala,Hit
2124,Bhairavi,1996.0,145.0,"Drama, Musical, Romance",5.3,35.0,Aruna Raje,Ashwini Bhave,Sridhar,Manohar Singh,Average
2125,Bhaiyya,1961.0,131.0,"Drama, Family",7.4,7.0,Phani Majumdar,Tarun Bose,Vijaya Choudhury,Gopal,Hit
2126,Bhaiyyajaan,2016.0,57.0,"Action, Crime, Drama",6.0,55.0,Prashast Singh,Prashast Singh,Unknown,Unknown,Average
2127,Bhakla,2006.0,131.0,Comedy,6.0,55.0,Dinesh Patel,Dhriti Pati Sarkar,Unknown,Unknown,Average
2128,Bhakt Dhruv,1957.0,131.0,Unknown,6.0,55.0,Gunjal,Jeevan,Trilok Kapoor,Sulochana Latkar,Average
2129,Bhakt Pralhad,1959.0,131.0,"Animation, History",6.0,55.0,Raja Yagnik,Kamal Kapoor,Maruti,Achala Sachdev,Average
2130,Bhakt Raj,1960.0,152.0,"Adventure, Comedy, Drama",6.0,55.0,V.M. Vyas,David Abraham,Prem Adib,Master Bhagwan,Average
2131,Bhakta Bilwamangal,1948.0,131.0,Unknown,6.0,55.0,Shanti Kumar,Sashi Kapoor,Unknown,Unknown,Average
2132,Bhakta Cheeta,1936.0,131.0,Unknown,6.0,55.0,Mohini,Unknown,Unknown,Unknown,Average
2133,Bhakta Dhruv Kumar,1964.0,131.0,Unknown,6.0,55.0,Dhirubhai Desai,Indira,Jugnu,Shahu Modak,Average
2134,Bhakta Dhruva,1947.0,131.0,"Adventure, Drama, Fantasy",5.3,7.0,Shanti Kumar,Jeevan,Sashi Kapoor,Leela Mishra,Average
2135,Bhakta Dhruva,1983.0,131.0,Drama,6.0,55.0,Unknown,Unknown,Unknown,Unknown,Average
2136,Bhakta Gopalbhaiya,1948.0,131.0,Unknown,6.0,55.0,Shanti Kumar,Sashi Kapoor,Unknown,Unknown,Average
2137,Bhakta Gora Kumbhar,1923.0,131.0,Unknown,6.0,55.0,Dhundiraj Govind Phalke,Unknown,Unknown,Unknown,Average
2138,Bhakta Kabir,1942.0,131.0,Unknown,6.0,55.0,Rameshwar Sharma,Mehtab,Padmadevi,Jyotsna Gupta,Average
2139,Bhakta Ke Bhagwan,1934.0,131.0,Unknown,6.0,55.0,Gunjal,Kapoor,Rajkumari,Unknown,Average
2140,Bhakta Kuchela,1961.0,165.0,Unknown,6.0,55.0,P. Subramaniam,Thikkurisi Sukumaran Nair,Guru Gopinath,T.K. Balachandran,Average
2141,Bhakta Prahlad,1946.0,131.0,Fantasy,6.0,55.0,Dhirubhai Desai,Ulhas,Unknown,Unknown,Average
2142,Bhakta Prahlad,1932.0,131.0,Drama,5.5,6.0,Kanjibhai Rathod,Neelam,Hydershah,Kumar Mukund,Average
2143,Bhakta Prahlad,1934.0,131.0,Unknown,6.0,55.0,Shakuntala Paranjpye,Unknown,Unknown,Unknown,Average
2144,Bhakta Prahlada (I),1967.0,131.0,Unknown,6.0,55.0,Chitrapu Narayana Rao,Anjali Devi,Unknown,Unknown,Average
2145,Bhakta Pralhad,1934.0,131.0,Unknown,6.0,55.0,Ramchandra Gopal Torney,Unknown,Unknown,Unknown,Average
2146,Bhakta Pundalik,1949.0,131.0,Unknown,6.0,55.0,Dhirubhai Desai,Unknown,Unknown,Unknown,Average
2147,Bhakta Puran,1952.0,131.0,Unknown,6.0,55.0,Dhirubhai Desai,Shahu Modak,Lalita Pawar,Nirupa Roy,Average
2148,Bhakta Raidas,1943.0,131.0,Unknown,6.0,55.0,Keshavrao Dhaiber,Lalita Pawar,Unknown,Unknown,Average
2149,Bhakta Siriyala,1980.0,154.0,"Biography, Drama, Musical",7.1,19.0,Hunsur Krishnamurthy,Arathi,K.S. Ashwath,Sharapanjara Iyengar,Hit
2150,Bhakta Surdas,1942.0,131.0,Music,6.0,55.0,Chaturbhuj Doshi,Khurshid Begum,K.L. Saigal,Unknown,Average
2151,Bhaktaraj,1943.0,131.0,Unknown,6.0,55.0,Jayant Desai,Dixit,Eddie Billimoria,Kaushayla,Average
2152,Bhakti,1939.0,131.0,Unknown,6.0,55.0,Renuka Devi,Unknown,Unknown,Unknown,Average
2153,Bhakti Mein Bhagwan,1975.0,131.0,Drama,6.0,55.0,Balakrishan,Leelavathi,Manjula,Unknown,Average
2154,Bhakti Mein Shakti,1979.0,140.0,"Adventure, Drama, History",7.5,13.0,Dara Singh,Dara Singh,Satish Kaul,Bharat Bhushan,Hit
2155,Bhala Aadmi,1958.0,131.0,Unknown,6.0,55.0,Master Bhagwan,Master Bhagwan,Chandrashekhar,Anita Guha,Average
2156,Bhala Manus,1976.0,138.0,"Drama, Romance",4.6,11.0,Vishwamitra,Randhir Kapoor,Neetu Singh,Aruna Irani,Average
2157,Bhalai,1943.0,131.0,Unknown,6.0,55.0,Nazir,Sitara Devi,Prithviraj Kapoor,Shyam Kumar,Average
2158,Bhale Donga,1989.0,131.0,"Action, Comedy, Drama",3.3,108.0,Kodanda Rami Reddy A.,Nandamuri Balakrishna,Mohan Babu,Brahmanandam,Below_average
2159,Bhalevadivi Basu,2001.0,156.0,"Family, Comedy",4.6,35.0,P.A. Arun Prasad,Nandamuri Balakrishna,Anjala Zaveri,Shilpa Shetty Kundra,Average
2160,Bhamashah,2017.0,83.0,Drama,6.2,11.0,Vikram Nath Gupta,Dharmendra Gohil,Daya Shankar Pandey,Manoj Shah,Average
2161,Bhaneli Vahu,1948.0,131.0,Unknown,6.0,55.0,Homi Master,Unknown,Unknown,Unknown,Average
2162,Bhangarh: The Last Episode,2017.0,84.0,Horror,5.5,15.0,Anil Bajpai,Prashant Barot,Deepanshu Malik,Rumana Molla,Average
2163,Bhangover,2017.0,115.0,Comedy,5.1,34.0,Mahender Singh,Prerika Arora,Aradhya Taing,Anmol Khatri,Average
2164,Bhangra Paa Le,2020.0,131.0,"Comedy, Drama, Music",6.0,287.0,Sneha Taurani,Sunny Kaushal,Rukshar Dhillon,Shriya Pilgaonkar,Average
2165,Bhanvara,1944.0,131.0,Unknown,6.0,55.0,Arun,Kamala Chatterjee,Monica Desai,Kesari,Average
2166,Bhanwar,1976.0,135.0,"Drama, Romance",6.2,24.0,Bhappi Sonie,Ashok Kumar,Randhir Kapoor,Parveen Babi,Average
2167,Bhanwar,1947.0,131.0,Musical,6.0,55.0,Madhu Patel,Maya Devi,Nirupa Roy,Shamim,Average
2168,Bhanwar Jindagi,2021.0,131.0,Drama,6.0,55.0,Swaroop Sawant,Ganesh Yadav,Kamlesh Sawant,Shreya Pasalkar,Average
2169,Bhanwarey,2017.0,120.0,Comedy,6.8,58.0,Shaurya Singh,Shaurya Singh,Karhan Dev,Jashan Singh Kohli,Average
2170,Bharat,2019.0,150.0,"Action, Comedy, Drama",4.9,22598.0,Ali Abbas Zafar,Salman Khan,Katrina Kaif,Sunil Grover,Average
2171,Bharat Bhagya Vidhata,2002.0,160.0,"Action, Adventure, Thriller",5.7,13.0,Ashok Tyagi,Chandrachur Singh,Flora Saini,Shatrughan Sinha,Average
2172,Bharat Darshan,1972.0,131.0,Documentary,6.0,55.0,Khwaja Ahmad Abbas,Parvati Menon,Unknown,Unknown,Average
2173,Bharat India Hindustan,2000.0,131.0,Action,6.0,55.0,Rakesh Kakaria,Laxmikant Berde,Biswajit Chatterjee,Brij Gopal,Average
2174,Bharat Ka Lal,1936.0,131.0,"Action, Drama",6.0,55.0,S.M. Yusuf,Chandrarao,Miss Feroze,Master Bhagwan,Average
2175,Bharat Katha,1965.0,131.0,Documentary,6.0,55.0,Khwaja Ahmad Abbas,Unknown,Unknown,Unknown,Average
2176,Bharat Ke Lal,1994.0,131.0,Drama,6.0,55.0,Mohan Choti,Sujit Kumar,Vikram Makandar,Ram Mohan,Average
2177,Bharat Ke Shaheed,1972.0,131.0,"Drama, History",6.0,55.0,Vishram Bedekar,Ram Avtar,Ramesh Deo,Seema Deo,Average
2178,Bharat Ki Beti,1935.0,131.0,Drama,6.0,55.0,Premankur Atorthy,Rattan Bai,Gul Hamid,D. Sarkari,Average
2179,Bharat Ki Santan,1980.0,131.0,Drama,6.0,55.0,Bhagwant S. Anand,Tom Alter,Madhu Malini,Rakesh Pandey,Average
2180,Bharat Milap,1942.0,170.0,"Adventure, Drama, History",6.6,9.0,Vijay Bhatt,Prem Adib,K.B. Athavale,Umakant Desai,Average
2181,Bharat Milap,1965.0,137.0,"Adventure, Drama, History",6.0,55.0,Babubhai Mistry,Sohrab Modi,Sulochana Latkar,Anand Kumar,Average
2182,Bharati Balak,1931.0,131.0,Unknown,6.0,55.0,Aga Hashr Kashmiri,Patience Cooper,Mohammad Isaq,Mohan,Average
2183,Bharati Mata,1932.0,131.0,Unknown,6.1,12.0,Pesi Karani,Hadi,Jamshedji,Jillo,Average
2184,Bhargavi I. P. S.,1996.0,114.0,Action,6.0,55.0,Devraj,Malasri,Unknown,Unknown,Average
2185,Bharosa,1963.0,131.0,"Comedy, Drama, Romance",6.1,24.0,K. Shankar,Guru Dutt,Asha Parekh,Mehmood,Average
2186,Bharosa,1940.0,147.0,Unknown,6.0,55.0,Sohrab Modi,Chandra Mohan,Sardar Akhtar,Mazhar Khan,Average
2187,Bharosa,1981.0,131.0,"Adventure, Mystery",6.0,5.0,Meraj,Rajesh Khanna,Zaheera,Sujit Kumar,Average
2188,Bharosa: Ek Jung,2003.0,131.0,Action,6.0,55.0,Urvashi Patel,Ruchitha Prasad,Saikumar,Unknown,Average
2189,Bharti,1956.0,131.0,Fantasy,6.0,55.0,Ramesh Saigal,Ajit,Nalini Jaywant,Leela Mishra,Average
2190,Bhartrahari,1944.0,131.0,Unknown,6.0,55.0,Chaturbhuj Doshi,Arun,Unknown,Unknown,Average
2191,Bhartruhari,1932.0,131.0,Fantasy,6.0,55.0,Anand Prasad Kapoor,Chandrarao,Ashraf Khan,Tara,Average
2192,Bhartruhari,1944.0,131.0,Fantasy,6.0,55.0,Jehanara Kajjan,Unknown,Unknown,Unknown,Average
2193,Bhasadbaaz,2021.0,60.0,"Comedy, Drama",6.0,55.0,Abhishek Prasad,Sheeba Chaddha,Vineet Kumar,Anil Charanjeett,Average
2194,Bhasmasur,2017.0,74.0,Drama,6.8,132.0,Nishil Sheth,Imran Rasheed,Mittal Chouhan,Trimala Adhikari,Average
2195,Bhasmasur Mohini,1932.0,131.0,Unknown,6.0,55.0,Kanjibhai Rathod,Laxmi,Unknown,Unknown,Average
2196,Bhatakte Kadam,1984.0,131.0,Romance,6.0,55.0,Inderjeet Dori,Madhu Kapoor,Mehmood Jr.,Satyajeet,Average
2197,Bhatakti Jawani,1988.0,131.0,Drama,6.0,55.0,Inderjit Doshi,Madhu Kapoor,Mukri,Lalita Pawar,Average
2198,Bhatakti Maina,1947.0,131.0,Unknown,6.0,55.0,Sadiq Nizami,Suraiya,Unknown,Unknown,Average
2199,Bhatke Rahi,1984.0,131.0,Unknown,6.0,55.0,Suhas Bhalekar,Kamini Bhatia,Pushpa Soni,Dinesh Thakur,Average
2200,Bhavani Junction,1985.0,128.0,"Action, Crime, Thriller",5.8,48.0,H. Dinesh,Shashi Kapoor,Shatrughan Sinha,Zeenat Aman,Average
2201,Bhavesh Joshi Superhero,2018.0,154.0,"Action, Crime, Drama",7.6,7479.0,Vikramaditya Motwane,Harshvardhan Kapoor,Priyanshu Painyuli,Ashish Verma,Hit
2202,Bhavishya,1991.0,131.0,Drama,6.0,55.0,Unknown,Unknown,Unknown,Unknown,Average
2203,Bhavna,1984.0,131.0,Drama,6.9,35.0,Pravin Bhatt,Shabana Azmi,Marc Zuber,Saeed Jaffrey,Average
2204,Bhavnao Ko Samjho,2010.0,114.0,"Action, Comedy, Drama",4.3,76.0,Sunil Pal,Madhu Acharya,Nitin Anand,Dinesh Bawara,Average
